romaji,kanji,meaning
budou,ぶどう,grape
ki,気,spirit mind
jinkou,人口,population
kumo,雲,cloud
asobi,遊び,play
chuugakkou,中学校,middle school
kare,彼,he him boyfriend
kyaku,客,guest visitor
amerika,アメリカ,america usa
mieru,見える,to be visible
ko,子,child
tanoshimu,楽しむ,to enjoy
tazuneru,訪ねる,to visit
akanbou,赤ん坊,baby infant
kimochi,気持ち,feeling
okosu,起こす,to wake
ichido,一度,once
atsumaru,集まる,to gather
moushiageru,申し上げる,to say tell humbly
shinamono,品物,goods
gozonji,ご存じ,to know humbly
sageru,下げる,to hang suspend
koukousei,高校生,high school student
kaeri,帰り,on the way back
owari,終わり,the end
odori,踊り,dance
hikidasu,引き出す,to pull out withdraw
shinbunsha,新聞社,newspaper company
kureru,くれる,to be given
sugiru,過ぎる,to pass exceed
tsumori,つもり,intention
hotondo,ほとんど,mostly nearly
mitsukeru,見つける,to discover find
kitto,きっと,surely certainly definitely
nakunaru,なくなる,to be lost
betsu,別,different other
naosu,治す,to cure fix
shikkari,しっかり,tightly
toutou,とうとう,finally
nasaru,なさる,to do humbly
sugoi,すごい,great wonderful
korekara,これから,from now on
garasu,ガラス,glass
komu,混む,to be crowded packed
sorehodo,それほど,not that much
yaseru,痩せる,to lose weight
gasu,ガス,gas
suri,スリ,pickpocket
chittomo,ちっとも,not at all
ijimeru,いじめる,to bully
saraigetsu,再来月,month after next
afurika,アフリカ,africa
furidasu,降り出す,to begin to rain snow
kedo,けど,but however
daibu,だいぶ,quite
tenisu,テニス,tennis
piano,ピアノ,piano
konpyu-ta,コンピュータ,computer
ke-ki,ケーキ,cake
biru,ビル,building
ka-ten,カーテン,curtain curtains
gasorin,ガソリン,gasoline
aruko-ru,アルコール,alcohol
sandoicchi,サンドイッチ,sandwich
o-tobai,オートバイ,motorcycle motorbike
sarada,サラダ,salad
sofuto,ソフト,soft software
tekisuto,テキスト,text textbook
sutando,スタンド,stand
jamu,ジャム,jam
sutereo,ステレオ,stereo
anaunsa-,アナウンサー,announcer
pa-to,パート,part time work
akusesari-,アクセサリー,accessory jewelry
esukare-ta-,エスカレーター,escalator
su-tsuke-su,スーツケース,suitcase
