romaji,kanji,meaning
maguro,鮪,tuna
uni,雲丹,uni sea urchin
anago,穴子,japanese eel
unagi,鰻,eel
tai,鯛,red snapper
sake,鮭,salmon
kinmedai,金目鯛,splendid alfonsino
iwashi,鰯,sardine
ika,烏賊,squid
nodoguro,ノドグロ,blackthroat seaperch seabass
ikura,イクラ,ikura salted salmon roe
akami,赤身,red flesh
honmaguro,本鮪,bluefin tuna
binchoumaguro,ビンチョウマグロ,albacore tuna
bintoro,びんとろ,fatty albacore tuna
chuutoro,中トロ,medium fatty tuna
ootoro,大トロ,fatty tuna
negitoro,ネギトロ,minced tuna
hamachi,ハマチ,yellowtail
buri,ブリ,fatty yellowtail
aburi,炙り,torched
tekkamaki,鉄火巻き,red tuna rolls
ebi,海老,prawn shrimp
hotate,帆立,scallop
hirame,平目,flounder
saba,鯖,mackerel
katsuo,鰹,skipjack tuna
aji,アジ,horse mackerel
tako,タコ,octopus
kanpachi,カンパチ,greater amberjack yellowtail
shirasu,シラス,whitebait
shimesaba,しめ鯖,vinegared mackerel
akagai,赤貝,blood clam
hotaruika,ホタルイカ,firefly squid
kani,蟹,crab
kanimiso,蟹味噌,brown meat crab miso
tobikko,とびっこ,flying fish roe
kawahagi,カワハギ,threadsail filefish
kimo,肝,liver
fugu,フグ,puffer fish
kazunoko,数の子,herring roe
awabi,鮑,abalone ear shell
asari,あさり,medium clam
shijimi,しじみ,little clam
hamaguri,はまぐり,big clam
tenpura,天ぷら,tenpura tempura
shirako,白子,soft roe
ankou,アンコウ,goosefish monkfish
ankimo,あん肝,monfish liver
sujiko,筋子,connected salted salmon roe
zuke,漬け,marinated
tamago,卵(玉子),egg eggs
karei,かれい,righteye flounder
mentaiko,明太子,spiced and salted roe
engawa,えんがわ,fin meat
mori,盛り,serving
kaisen,海鮮,seafood
kihada,きはだ,yellowfin tuna
