romaji,kanji,meaning
gishiki,儀式,ceremony rite ritual service
nankyoku,南極,south pole
hokkyoku,北極,north pole
shokunin,職人,craftsman artisan tradesman worker
shinkansen,新幹線,shinkansen bullet train
hirune,昼寝,nap
oodoori,大通り,main street
mokuzai,木材,lumber timber wood
unga,運河,canal waterway
yuuenchi,遊園地,amusement park
jaguchi,蛇口,faucet tap
tennou,天皇,emperor of japan
yougan,溶岩,lava
bushi,武士,warrior samurai
myouji,苗字,surname last name
shiryou,資料,materials data document
mensetsu,面接,interview
kuchibiru,唇,lips lip
bouenkyou,望遠鏡,telescope
mure,群れ,group crowd flock herd pack
kaihou,解放,release liberation setting free unleashing
onsen,温泉,onsen hot spring
shoten,書店,bookstore book shop
ekitai,液体,liquid
kashitsu,過失,accident error blunder fault
ido,井戸,water well
kakine,垣根,hedge fence border limit
engeki,演劇,drama theater play
entotsu,煙突,chimney smokestack funnel stovepipe
tsuukin,通勤,commuting to work
hiroba,広場,public square plaza open space
kajitsu,果実,fruit nut verry fruits profit
mujun,矛盾,contradiction inconsistency
denchi,電池,battery cell
senden,宣伝,publicity advertisement advertising promotion
kanpai,乾杯,cheers toast drink bottoms up
tsuuyaku,通訳,interpretation interpreter
kazan,火山,volcano
chuusei,中世,middle ages medieval times
hanabi,花火,fireworks
sumou,相撲,sumo wrestling
kannen,観念,idea notion concept sense
kiso,基礎,foundation basis
fubuki,吹雪,snow storm blizzard
tsuuka,通貨,currency
shako,車庫,garage carport depot
kaiten,回転,conveyer belt circle rotation
suiso,水素,hydrogen
makura,枕,pillow
keiba,競馬,horse racing
kakudo,角度,angle
teiden,停電,power outage blackout
kougai,公害,pollution contamination
kegawa,毛皮,fur skin pelt
shougyou,商業,commerce trade business
seitou,政党,political party
haiiro,灰色,gray
meisho,名所,famous place
ashiato,足跡,footprint footprints record
hyakkajiten,百科事典,encyclopedia
koukyou,公共,public
bokujou,牧場,farm livestock ranch
koushiki,公式,official formal formula
shitai,死体,dead body corpse
sharin,車輪,wheel
jouki,蒸気,steam vapor
kouyou,紅葉,autumn fall colors
kyouka,強化,reinforced super strengthening enhancement
ketsueki,血液,blood
shisei,姿勢,posture pose position stance attitude
kanban,看板,sign billboard doorplate
shinrin,森林,forest woods
shouka,消化,digestion consumption
norikae,乗り換え,transfer change connection
jishaku,磁石,magnet compass
shinwa,神話,myth mythology legend
yakkyoku,薬局,pharmacy drugstore
jiin,寺院,buddhist temple church
buntai,文体,literary style
kenbikyou,顕微鏡,microscope
touyou,東洋,the east orient
taki,滝,waterfall rapids
menseki,面積,square measure area size of land
hougen,方言,dialect
denryoku,電力,electrical power
ryou,寮,dorm dormitory
satsuei,撮影,film photograph
kaoku,家屋,house building
su,酢,vinegar
ketsuatsu,血圧,blood pressure
keizoku,継続,continuation going on
chokusen,直線,straight line
kokuseki,国籍,nationality citizenship
gakki,楽器,instrument
sashimi,刺身,raw seafood sashimi
hansei,反省,reflection contemplation mediation
kyuuyo,給与,pay salary wages
denki,伝記,biography life story
shougi,将棋,japanese chess
fuusen,風船,balloon
mugen,無限,infinity infinite eternity limitless
housou,包装,packing wrapping
dou,銅,copper cu bronze
funka,噴火,volcanic eruption
choukoku,彫刻,carving engraving sculpture
tekubi,手首,wrist
akegata,明け方,dawn
souko,倉庫,storehouse warehouse
sei,姓,surname family name last name
hikiwake,引き分け,draw tie game
take,竹,bamboo
senzo,先祖,ancestor ancestors
bunpu,分布,distribution allocation
engei,園芸,gardening
gyouretsu,行列,line queue
niru,煮る,to boil simmer stew
denchuu,電柱,power line pole
hyoushi,表紙,cover binding
taiko,太鼓,drum
touitsu,統一,unity consolodation uniformity union
kigou,記号,symbol code sign notation
houchou,包丁,kitchen knife
shousha,商社,trading company
wafuku,和服,japanese clothes
temae,手前,before oneself in front of one nearby
gakunen,学年,academic year school
chuunen,中年,middle age ages
denkyuu,電球,light bulb
koten,古典,classic the classics
sansuu,算数,arithmetic calculation
tansui,淡水,fresh water
ryoushi,漁師,fisherman
onshitsu,温室,greenhouse
nousanbutsu,農産物,agricultural produce
henshuu,編集,editing
taisou,体操,gymnastics
oyayubi,親指,thumb big toe
shuugou,集合,meeting up gathering assembly
genri,原理,principle theory
heijitsu,平日,weekday ordinary day
kuchibeni,口紅,lipstick
enkai,宴会,party banquet reception feast
kousen,光線,beam light ray
sokutei,測定,measurement
hamigaki,歯磨き,tooth teeth brushing
suibun,水分,water liquid fluid moisture
zeikan,税関,customs
shizenkagaku,自然科学,natural science sciences
mochi,餅,mochi
fukusuu,複数,plural multiple several
bunbougu,文房具,stationary
shitsudo,湿度,humidity
suichoku,垂直,perpendicular vertical
kouryuu,交流,exchange mixing ac alternating current
kakuritsu,確率,probability likelihood chances
denpa,電波,radio wave reception signal
seibetsu,性別,gender sex
daigakuin,大学院,grad school graduate
haiku,俳句,haiku
baibai,売買,trade buying and selling
masatsu,摩擦,friction rubbing chaffing
koubutsu,鉱物,mineral
denryuu,電流,electric current
toumei,透明,transparent clear
daimeishi,代名詞,pronoun
gyogyou,漁業,fishing industry fishery
yakusho,役所,government public office
meishi,名刺,business card
toudai,灯台,lighthouse
kamotsu,貨物,cargo freight
senzai,洗剤,detergent cleanser
youchien,幼稚園,kindergarten
kanmuri,冠,cap crown diadem
senro,線路,railway track line rail railroad
kaikan,会館,meeting assembly hall
hakike,吐き気,nausea feeling sick
kansoku,観測,observation survey measurement opinion
haguruma,歯車,gear cog cogwheel
kufuu,工夫,devising contriving figuring out
douwa,童話,childrens story fairy tale
murasaki,紫,purple
shikai,司会,leading a meeting presenter chairman host
hantou,半島,peninsula
chouten,頂点,apex pinnacle peak top summit
shinkou,真空,vacuum hollow empty
kanchou,官庁,government office agency
shasetsu,社説,editorial
kiatsu,気圧,atmospheric pressure
hatsuden,発電,generation of power
nouyaku,農薬,pesticide
tenten,転々,moving from place to place passed around repeatedly
ryuuiki,流域,drainage basin
setsuzoku,接続,connection attachment union joint link
meibutsu,名物,famous product specialty
gakubu,学部,department of a university
asshuku,圧縮,compression
gun,郡,district county
juuryoku,重力,gravity gravitation gravitational pull
yuketsu,輸血,blood transfusion
kondate,献立,menu
kougei,工芸,arts craft handicraft
jichi,自治,self government autonomy
shakaikagaku,社会科学,social science
yukata,浴衣,yukata
kawase,為替,money order
hikki,筆記,taking notes writing
sugi,杉,japanese cedar
shihei,紙幣,paper money note bill
hoken,保健,hygiene sanitation
kaisatsu,改札,ticket gate
zukan,図鑑,picture book manual guide
seireki,西暦,common era ad
touge,峠,ridge peak
sakuin,索引,index in a book
kikansha,機関車,locomotive engine
fumikiri,踏切,railway train crossing
aimai,曖昧,vague ambiguous unclear
hashigo,梯子,ladder
hiji,肘,elbow
juutan,絨毯,carpet rug
amimono,編み物,knitting knitted material crochet
kugi,釘,nail spike pin
yuderu,茹でる,to boil boiling
houtai,包帯,bandage dressing
kitai,気体,gas vapor
koshou,胡椒,pepper
kikin,飢饉,famine
renga,煉瓦,brick
chokkaku,直角,right angle perpendicular
sabi,錆,rust
meishin,迷信,superstition
shitsuren,失恋,broken heart unrequited love
machiaishitsu,待合室,waiting room
kushi,櫛,comb
jouhatsu,蒸発,evaporation
mawarimichi,回り道,detour diversion
shouryaku,省略,omission
senpuuki,扇風機,electric fan
keiyoushi,形容詞,adjective i adjective
saihou,裁縫,sewing needlework
seihoukei,正方形,square
kuzu,屑,waste scrap garbage piece of trash loser
soba,蕎麦,buckwheat soba noodles
hitosashiyubi,人差し指,index finger second finger toe
fukushi,副詞,adverb
keikoutou,蛍光灯,fluorescent lamp light
jougi,定規,ruler
shoubousho,消防署,fire station
keigo,敬語,formal honorific term of respect
keido,経度,longitude
kakko,括弧,brackets parentheses
jikanwari,時間割,timetable schedule
houki,箒,broom
