romaji,kanji,meaning
gakkou,学校,school
kawa,川,river
te,手,hand
to,戸,door shutter entrance
megane,眼鏡,glasses
tabako,煙草,tobacco cigarette
aka,赤,red
shigoto,仕事,work job labor
eigo,英語,english language
mondai,問題,problem question
heya,部屋,room
kodomo,子供,child
jikan,時間,hours hour time
ame,雨,rain
sensei,先生,teacher instructor
toshi,年(toshi),year age years
tegami,手紙,letter note mail
denwa,電話,phone call
mizu,水,water
byouki,病気,sick sickness illness disease
kaisha,会社,company corporation
ageru,上げる,to raise elevate
kekkon,結婚,marriage
kotoba,言葉,word words dialect
me,目,eye eyeball
hashiru,走る,to run
namae,名前,name
ryokou,旅行,trip travel journey
michi,道,road path street
hikouki,飛行機,airplane plane
eiga,映画,movie film
ongaku,音楽,music
ki,木,tree shrub bush
daigaku,大学,university college
tokei,時計,watch clock
kazoku,家族,family
hana,花,flower blossom petal
neko,猫,cat
mainichi,毎日,every day
shukudai,宿題,homework assignment
yuki,雪,snow
yama,山,mountain hill
mado,窓,window
doubutsu,動物,animal
yoru,夜,night evening
ryouri,料理,cooking cuisine meal
natsu,夏,summer
shinbun,新聞,newspaper
kouen,公園,park
imi,意味,meaning significance
jitensha,自転車,bicycle bike
ashi,足,leg foot
densha,電車,train
sanpo,散歩,stroll walk
koe,声,voice
asa,朝,morning
uta,歌,song singing
kutsu,靴,shoe shoes
hako,箱,box case chest
tsukue,机,desk
boushi,帽子,hat
umi,海,sea ocean
jugyou,授業,class lesson
ginkou,銀行,bank banking
shashin,写真,picture photograph photo
fuyu,冬,winter
mura,村,village
kasa,傘,umbrella
kuchi,口,mouth
hashi,橋,bridge
byouin,病院,hospital clinic
haru,春,spring
toshokan,図書館,library
kaimono,買い物,shopping
isu,椅子,chair stool
jidousha,自動車,car automobile motor vehicle
iro,色,color
tamago,卵,egg eggs
niku,肉,meat
kaze,風邪,cold flu
souji,掃除,cleaning sweeping
kami,紙,paper
kagi,鍵,key lock
zasshi,雑誌,magazine journal
kippu,切符,ticket
gaikokujin,外国人,foreigner foreign citizen
saifu,財布,wallet purse
enpitsu,鉛筆,pencil
otona,大人,adult grown up
shio,塩,salt
natsuyasumi,夏休み,summer vacation holiday
satou,砂糖,sugar
yuubinkyoku,郵便局,post office
ike,池,pond lake
kyoushitsu,教室,classroom lecutre room department
mimi,耳,ear
daidokoro,台所,kitchen
kitte,切手,stamp
denki,電気,electricity
ha,歯,tooth teeth
sakubun,作文,essay writing
koucha,紅茶,black tea
katei,家庭,home house family household
yasai,野菜,vegetable
furo,風呂,bath bathtub
genkan,玄関,entrance front door entryway
chikatetsu,地下鉄,subway
hana,鼻,nose
midori,緑,green
hiru,昼,noon midday
nishi,西,west
shiro,白,white
sentaku,洗濯,laundry washing
reizouko,冷蔵庫,fridge refrigerator
minami,南,south
kayoubi,火曜日,tuesday
kita,北,north
chairo,茶色,brown
kissaten,喫茶店,cafe coffee shop
kuro,黒,black
ao,青,blue
kutsushita,靴下,socks sock stocking
fuutou,封筒,envelope
hen,辺,area vicinity region
kiiro,黄色,yellow
eigakan,映画館,movie theater cinema
hashi,箸,chopsticks
shokudou,食堂,dining hall
gyuuniku,牛肉,beef
kousaten,交差点,crossing intersection
kanji,漢字,kanji
kumori,曇り,cloudy
chawan,茶碗,rice bowl teacup
sebiro,背広,business suit
mannenhitsu,万年筆,fountain pen
haizara,灰皿,ashtray ash tray
taishikan,大使館,embassy
kouban,交番,small police station koban
butaniku,豚肉,pork
nomu,飲む,to drink
atama,頭,head
nichiyoubi,日曜日,sunday
tanjoubi,誕生日,birthday
kawaii,可愛い,cute adorable lovely
kaban,鞄,bag
doyoubi,土曜日,saturday
getsuyoubi,月曜日,monday
kinyoubi,金曜日,friday
kabin,花瓶,vase
mokuyoubi,木曜日,thursday
hondana,本棚,bookshelves book shelf case
sekken,石鹸,soap
suiyoubi,水曜日,wednesday
ame,飴,candy toffee rice sugar
yaoya,八百屋,fruit and vegetable shop
naru,なる,to become to result in
ichiban,一番,number one first place
watashi,私,i
soto,外,outside exterior
ane,姉,big older sister
hyaku,ひゃく,one hundred 100
aru,ある,to be xist live have
sono,その,that
iu,言う,to say
dekiru,できる,to be able to do
yoi,良い,good excellent
miru,見る,to see look
kono,この,this
jibun,自分,oneself self
shiru,知る,to know
motsu,持つ,to hold take
nani,何,what
kuruma,車,car vehicle
hanasu,話す,to talk speak
ima,今,now
kyou,今日,today
kau,買う,to buy
yomu,読む,to read
mina,皆,everyone everybody all
atarashii,新しい,new
hanashi,話,talk speech chat conversation
ashita,明日,tomorrow
kinou,昨日,yesterday
benkyou,勉強,study
toru,取る,to take
dare,誰,who
okane,お金,money
otoko,男,man male
inu,犬,dog
tsukau,使う,to use
taihen,大変,very terrible awfully immense difficult
matsu,待つ,to wait
tsukuru,作る,to make produce build
ushiro,後ろ,behind back rear
machi,町,town block neighborhood
eki,駅,station
sukoshi,少し,a little few
anata,あなた,you
hoshii,欲しい,want
iku,行く,to go
noru,乗る,to get on to board to take
ookina,大きな,big large great
isha,医者,doctor
owaru,終わる,to end
nagai,長い,long
dono,どの,which what way
kuni,国,country
mata,また,again once more also
takai,高い,high tall
amari,あまり,remainder remnant rest balance not much
muzukashii,難しい,hard difficult
tomodachi,友達,friend companion
hitotsu,一つ,one
hontou,本当,truth reality actuality fact
neru,寝る,to sleep
